"","subject","activity","domain","dimension","component","instrument","jerk","magnitude","statistic","count","mean_value"
"3611","10","laying","time","Z","NA","gyroscope","NA","NA","mean",58,0.104720478344828
"3612","10","laying","time","Z","NA","gyroscope","NA","NA","std",58,-0.971940597413793
"3613","10","laying","time","Z","NA","gyroscope","jerk","NA","mean",58,-0.0590744912758621
"3614","10","laying","time","Z","NA","gyroscope","jerk","NA","std",58,-0.983949302758621
"3615","10","laying","time","Z","body","accelerometer","NA","NA","mean",58,-0.117168642362069
"3616","10","laying","time","Z","body","accelerometer","NA","NA","std",58,-0.95947148637931
"3617","10","laying","time","Z","body","accelerometer","jerk","NA","mean",58,0.00716689586275862
"3618","10","laying","time","Z","body","accelerometer","jerk","NA","std",58,-0.976256662586207
"3619","10","laying","time","Z","gravity","accelerometer","NA","NA","mean",58,-0.031121624137931
"3620","10","laying","time","Z","gravity","accelerometer","NA","NA","std",58,-0.963045642431035
"3621","10","laying","time",NA,"NA","gyroscope","NA","magnitude","mean",58,-0.937590998793103
"3622","10","laying","time",NA,"NA","gyroscope","NA","magnitude","std",58,-0.927471165517241
"3623","10","laying","time",NA,"NA","gyroscope","jerk","magnitude","mean",58,-0.970830848965517
"3624","10","laying","time",NA,"NA","gyroscope","jerk","magnitude","std",58,-0.959632931551724
"3625","10","laying","time",NA,"body","accelerometer","NA","magnitude","mean",58,-0.956781819655172
"3626","10","laying","time",NA,"body","accelerometer","NA","magnitude","std",58,-0.940301654482759
"3627","10","laying","time",NA,"body","accelerometer","jerk","magnitude","mean",58,-0.976234435172414
"3628","10","laying","time",NA,"body","accelerometer","jerk","magnitude","std",58,-0.967556980689655
"3629","10","laying","time",NA,"gravity","accelerometer","NA","magnitude","mean",58,-0.956781819655172
"3630","10","laying","time",NA,"gravity","accelerometer","NA","magnitude","std",58,-0.940301654482759
"3631","10","sitting","frequency","X","NA","gyroscope","NA","NA","mean",54,-0.986477363333333
"3632","10","sitting","frequency","X","NA","gyroscope","NA","NA","std",54,-0.989712360740741
"3633","10","sitting","frequency","X","body","accelerometer","NA","NA","mean",54,-0.984943144259259
"3634","10","sitting","frequency","X","body","accelerometer","NA","NA","std",54,-0.982242427777778
"3635","10","sitting","frequency","X","body","accelerometer","jerk","NA","mean",54,-0.989365013888889
"3636","10","sitting","frequency","X","body","accelerometer","jerk","NA","std",54,-0.989550917407407
"3637","10","sitting","frequency","Y","NA","gyroscope","NA","NA","mean",54,-0.986179215555556
"3638","10","sitting","frequency","Y","NA","gyroscope","NA","NA","std",54,-0.983579646666667
"3639","10","sitting","frequency","Y","body","accelerometer","NA","NA","mean",54,-0.9404502
"3640","10","sitting","frequency","Y","body","accelerometer","NA","NA","std",54,-0.912838063018519
"3641","10","sitting","frequency","Y","body","accelerometer","jerk","NA","mean",54,-0.980962856111111
"3642","10","sitting","frequency","Y","body","accelerometer","jerk","NA","std",54,-0.982045591111111
"3643","10","sitting","frequency","Z","NA","gyroscope","NA","NA","mean",54,-0.96539546962963
"3644","10","sitting","frequency","Z","NA","gyroscope","NA","NA","std",54,-0.962418559814815
"3645","10","sitting","frequency","Z","body","accelerometer","NA","NA","mean",54,-0.97464465462963
"3646","10","sitting","frequency","Z","body","accelerometer","NA","NA","std",54,-0.966121042592593
"3647","10","sitting","frequency","Z","body","accelerometer","jerk","NA","mean",54,-0.986056767777778
"3648","10","sitting","frequency","Z","body","accelerometer","jerk","NA","std",54,-0.98911086
"3649","10","sitting","frequency",NA,"NA","gyroscope","NA","magnitude","mean",54,-0.974459732592593
"3650","10","sitting","frequency",NA,"NA","gyroscope","NA","magnitude","std",54,-0.962459956111111
"3651","10","sitting","frequency",NA,"NA","gyroscope","jerk","magnitude","mean",54,-0.992191529259259
"3652","10","sitting","frequency",NA,"NA","gyroscope","jerk","magnitude","std",54,-0.991409100925926
"3653","10","sitting","frequency",NA,"body","accelerometer","NA","magnitude","mean",54,-0.955281010740741
"3654","10","sitting","frequency",NA,"body","accelerometer","NA","magnitude","std",54,-0.941511952777778
"3655","10","sitting","frequency",NA,"body","accelerometer","jerk","magnitude","mean",54,-0.985900801111111
"3656","10","sitting","frequency",NA,"body","accelerometer","jerk","magnitude","std",54,-0.983266741481482
"3657","10","sitting","time","X","NA","gyroscope","NA","NA","mean",54,-0.0432432176851852
"3658","10","sitting","time","X","NA","gyroscope","NA","NA","std",54,-0.988873097222222
"3659","10","sitting","time","X","NA","gyroscope","jerk","NA","mean",54,-0.0931555026481481
"3660","10","sitting","time","X","NA","gyroscope","jerk","NA","std",54,-0.992326657222222
"3661","10","sitting","time","X","body","accelerometer","NA","NA","mean",54,0.270612056481481
"3662","10","sitting","time","X","body","accelerometer","NA","NA","std",54,-0.982901825925926
"3663","10","sitting","time","X","body","accelerometer","jerk","NA","mean",54,0.0775372505185185
"3664","10","sitting","time","X","body","accelerometer","jerk","NA","std",54,-0.988946414074074
"3665","10","sitting","time","X","gravity","accelerometer","NA","NA","mean",54,0.791887198148148
"3666","10","sitting","time","X","gravity","accelerometer","NA","NA","std",54,-0.973128354074074
"3667","10","sitting","time","Y","NA","gyroscope","NA","NA","mean",54,-0.0679993598888889
"3668","10","sitting","time","Y","NA","gyroscope","NA","NA","std",54,-0.984373304814815
"3669","10","sitting","time","Y","NA","gyroscope","jerk","NA","mean",54,-0.0411216540925926
"3670","10","sitting","time","Y","NA","gyroscope","jerk","NA","std",54,-0.992584494814815
"3671","10","sitting","time","Y","body","accelerometer","NA","NA","mean",54,-0.015042681852037
"3672","10","sitting","time","Y","body","accelerometer","NA","NA","std",54,-0.917979529962963
"3673","10","sitting","time","Y","body","accelerometer","jerk","NA","mean",54,0.00897875458703704
"3674","10","sitting","time","Y","body","accelerometer","jerk","NA","std",54,-0.980756789814815
"3675","10","sitting","time","Y","gravity","accelerometer","NA","NA","mean",54,-0.041260775
"3676","10","sitting","time","Y","gravity","accelerometer","NA","NA","std",54,-0.935690006481481
"3677","10","sitting","time","Z","NA","gyroscope","NA","NA","mean",54,0.0745958869444444
"3678","10","sitting","time","Z","NA","gyroscope","NA","NA","std",54,-0.960445962037037
"3679","10","sitting","time","Z","NA","gyroscope","jerk","NA","mean",54,-0.048941191502963
"3680","10","sitting","time","Z","NA","gyroscope","jerk","NA","std",54,-0.990259813148148
"3681","10","sitting","time","Z","body","accelerometer","NA","NA","mean",54,-0.104253238796296
"3682","10","sitting","time","Z","body","accelerometer","NA","NA","std",54,-0.967826981666667
"3683","10","sitting","time","Z","body","accelerometer","jerk","NA","mean",54,-0.00499566427666667
"3684","10","sitting","time","Z","body","accelerometer","jerk","NA","std",54,-0.988255803703704
"3685","10","sitting","time","Z","gravity","accelerometer","NA","NA","mean",54,0.20253457287037
"3686","10","sitting","time","Z","gravity","accelerometer","NA","NA","std",54,-0.966898520555556
"3687","10","sitting","time",NA,"NA","gyroscope","NA","magnitude","mean",54,-0.944202043703704
"3688","10","sitting","time",NA,"NA","gyroscope","NA","magnitude","std",54,-0.963064577592593
"3689","10","sitting","time",NA,"NA","gyroscope","jerk","magnitude","mean",54,-0.993707487592593
"3690","10","sitting","time",NA,"NA","gyroscope","jerk","magnitude","std",54,-0.991696196481481
"3691","10","sitting","time",NA,"body","accelerometer","NA","magnitude","mean",54,-0.96075719962963
"3692","10","sitting","time",NA,"body","accelerometer","NA","magnitude","std",54,-0.939669591481481
"3693","10","sitting","time",NA,"body","accelerometer","jerk","magnitude","mean",54,-0.988054237592593
"3694","10","sitting","time",NA,"body","accelerometer","jerk","magnitude","std",54,-0.985209856296296
"3695","10","sitting","time",NA,"gravity","accelerometer","NA","magnitude","mean",54,-0.96075719962963
"3696","10","sitting","time",NA,"gravity","accelerometer","NA","magnitude","std",54,-0.939669591481481
"3697","10","standing","frequency","X","NA","gyroscope","NA","NA","mean",44,-0.924005912954545
"3698","10","standing","frequency","X","NA","gyroscope","NA","NA","std",44,-0.932273942727273
"3699","10","standing","frequency","X","body","accelerometer","NA","NA","mean",44,-0.970099814318182
"3700","10","standing","frequency","X","body","accelerometer","NA","NA","std",44,-0.982949246136364
"3701","10","standing","frequency","X","body","accelerometer","jerk","NA","mean",44,-0.963565166136364
"3702","10","standing","frequency","X","body","accelerometer","jerk","NA","std",44,-0.968612135909091
"3703","10","standing","frequency","Y","NA","gyroscope","NA","NA","mean",44,-0.960323800909091
"3704","10","standing","frequency","Y","NA","gyroscope","NA","NA","std",44,-0.958399857954545
"3705","10","standing","frequency","Y","body","accelerometer","NA","NA","mean",44,-0.923378745227273
"3706","10","standing","frequency","Y","body","accelerometer","NA","NA","std",44,-0.921860476590909
"3707","10","standing","frequency","Y","body","accelerometer","jerk","NA","mean",44,-0.942187760454545
"3708","10","standing","frequency","Y","body","accelerometer","jerk","NA","std",44,-0.944847393636364
"3709","10","standing","frequency","Z","NA","gyroscope","NA","NA","mean",44,-0.950915730909091
"3710","10","standing","frequency","Z","NA","gyroscope","NA","NA","std",44,-0.958901257272727
"3711","10","standing","frequency","Z","body","accelerometer","NA","NA","mean",44,-0.955272383863636
"3712","10","standing","frequency","Z","body","accelerometer","NA","NA","std",44,-0.938098683181818
"3713","10","standing","frequency","Z","body","accelerometer","jerk","NA","mean",44,-0.972241512272727
"3714","10","standing","frequency","Z","body","accelerometer","jerk","NA","std",44,-0.979428729090909
"3715","10","standing","frequency",NA,"NA","gyroscope","NA","magnitude","mean",44,-0.937786743409091
"3716","10","standing","frequency",NA,"NA","gyroscope","NA","magnitude","std",44,-0.922961550454545
"3717","10","standing","frequency",NA,"NA","gyroscope","jerk","magnitude","mean",44,-0.965614081363636
"3718","10","standing","frequency",NA,"NA","gyroscope","jerk","magnitude","std",44,-0.965055815454545
"3719","10","standing","frequency",NA,"body","accelerometer","NA","magnitude","mean",44,-0.9401101675
"3720","10","standing","frequency",NA,"body","accelerometer","NA","magnitude","std",44,-0.945048242954545
"3721","10","standing","frequency",NA,"body","accelerometer","jerk","magnitude","mean",44,-0.951633690454545
"3722","10","standing","frequency",NA,"body","accelerometer","jerk","magnitude","std",44,-0.952105964545455
"3723","10","standing","time","X","NA","gyroscope","NA","NA","mean",44,-0.0281854325604545
"3724","10","standing","time","X","NA","gyroscope","NA","NA","std",44,-0.929895057954545
"3725","10","standing","time","X","NA","gyroscope","jerk","NA","mean",44,-0.104753833181818
"3726","10","standing","time","X","NA","gyroscope","jerk","NA","std",44,-0.950367548409091
"3727","10","standing","time","X","body","accelerometer","NA","NA","mean",44,0.276650300681818
"3728","10","standing","time","X","body","accelerometer","NA","NA","std",44,-0.978403481818182
"3729","10","standing","time","X","body","accelerometer","jerk","NA","mean",44,0.0809784390227273
"3730","10","standing","time","X","body","accelerometer","jerk","NA","std",44,-0.964311490454545
"3731","10","standing","time","X","gravity","accelerometer","NA","NA","mean",44,0.954008785454545
"3732","10","standing","time","X","gravity","accelerometer","NA","NA","std",44,-0.991259485
"3733","10","standing","time","Y","NA","gyroscope","NA","NA","mean",44,-0.0876820486363636
"3734","10","standing","time","Y","NA","gyroscope","NA","NA","std",44,-0.958861164090909
"3735","10","standing","time","Y","NA","gyroscope","jerk","NA","mean",44,-0.0371593000727273
"3736","10","standing","time","Y","NA","gyroscope","jerk","NA","std",44,-0.976445016590909
"3737","10","standing","time","Y","body","accelerometer","NA","NA","mean",44,-0.0155418603409091
"3738","10","standing","time","Y","body","accelerometer","NA","NA","std",44,-0.919561843409091
"3739","10","standing","time","Y","body","accelerometer","jerk","NA","mean",44,0.0119007630575
"3740","10","standing","time","Y","body","accelerometer","jerk","NA","std",44,-0.941328663409091
"3741","10","standing","time","Y","gravity","accelerometer","NA","NA","mean",44,-0.0431597830454545
"3742","10","standing","time","Y","gravity","accelerometer","NA","NA","std",44,-0.975410724090909
"3743","10","standing","time","Z","NA","gyroscope","NA","NA","mean",44,0.103251560681818
"3744","10","standing","time","Z","NA","gyroscope","NA","NA","std",44,-0.953681099545455
"3745","10","standing","time","Z","NA","gyroscope","jerk","NA","mean",44,-0.0584162547045455
"3746","10","standing","time","Z","NA","gyroscope","jerk","NA","std",44,-0.969051030681818
"3747","10","standing","time","Z","body","accelerometer","NA","NA","mean",44,-0.107964083931818
"3748","10","standing","time","Z","body","accelerometer","NA","NA","std",44,-0.941271440454545
"3749","10","standing","time","Z","body","accelerometer","jerk","NA","mean",44,-0.00485841031477273
"3750","10","standing","time","Z","body","accelerometer","jerk","NA","std",44,-0.9764306
"3751","10","standing","time","Z","gravity","accelerometer","NA","NA","mean",44,0.0346980210431818
"3752","10","standing","time","Z","gravity","accelerometer","NA","NA","std",44,-0.959579657727273
"3753","10","standing","time",NA,"NA","gyroscope","NA","magnitude","mean",44,-0.929787259772727
"3754","10","standing","time",NA,"NA","gyroscope","NA","magnitude","std",44,-0.920486810227273
"3755","10","standing","time",NA,"NA","gyroscope","jerk","magnitude","mean",44,-0.971637661590909
"3756","10","standing","time",NA,"NA","gyroscope","jerk","magnitude","std",44,-0.964409410454545
"3757","10","standing","time",NA,"body","accelerometer","NA","magnitude","mean",44,-0.951988907954545
"3758","10","standing","time",NA,"body","accelerometer","NA","magnitude","std",44,-0.937264537954545
"3759","10","standing","time",NA,"body","accelerometer","jerk","magnitude","mean",44,-0.965163818409091
"3760","10","standing","time",NA,"body","accelerometer","jerk","magnitude","std",44,-0.952058214545455
"3761","10","standing","time",NA,"gravity","accelerometer","NA","magnitude","mean",44,-0.951988907954545
"3762","10","standing","time",NA,"gravity","accelerometer","NA","magnitude","std",44,-0.937264537954545
"3763","10","walking","frequency","X","NA","gyroscope","NA","NA","mean",53,-0.277913780754717
"3764","10","walking","frequency","X","NA","gyroscope","NA","NA","std",53,-0.458292932830189
"3765","10","walking","frequency","X","body","accelerometer","NA","NA","mean",53,-0.114190001283019
"3766","10","walking","frequency","X","body","accelerometer","NA","NA","std",53,-0.206366497226415
"3767","10","walking","frequency","X","body","accelerometer","jerk","NA","mean",53,-0.107941107467925
"3768","10","walking","frequency","X","body","accelerometer","jerk","NA","std",53,-0.0791518267107547
"3769","10","walking","frequency","Y","NA","gyroscope","NA","NA","mean",53,-0.345209034528302
"3770","10","walking","frequency","Y","NA","gyroscope","NA","NA","std",53,-0.204392821584906
"3771","10","walking","frequency","Y","body","accelerometer","NA","NA","mean",53,0.0533911909886792
"3772","10","walking","frequency","Y","body","accelerometer","NA","NA","std",53,-0.129775706316981
"3773","10","walking","frequency","Y","body","accelerometer","jerk","NA","mean",53,0.0309052018326415
"3774","10","walking","frequency","Y","body","accelerometer","jerk","NA","std",53,0.0484867672264151
"3775","10","walking","frequency","Z","NA","gyroscope","NA","NA","mean",53,-0.108530029881132
"3776","10","walking","frequency","Z","NA","gyroscope","NA","NA","std",53,-0.273292866226415
"3777","10","walking","frequency","Z","body","accelerometer","NA","NA","mean",53,-0.41218272245283
"3778","10","walking","frequency","Z","body","accelerometer","NA","NA","std",53,-0.435304215660377
"3779","10","walking","frequency","Z","body","accelerometer","jerk","NA","mean",53,-0.464020508867925
"3780","10","walking","frequency","Z","body","accelerometer","jerk","NA","std",53,-0.558512650188679
"3781","10","walking","frequency",NA,"NA","gyroscope","NA","magnitude","mean",53,-0.412616909622642
"3782","10","walking","frequency",NA,"NA","gyroscope","NA","magnitude","std",53,-0.499759796981132
"3783","10","walking","frequency",NA,"NA","gyroscope","jerk","magnitude","mean",53,-0.515065335849057
"3784","10","walking","frequency",NA,"NA","gyroscope","jerk","magnitude","std",53,-0.517675799056604
"3785","10","walking","frequency",NA,"body","accelerometer","NA","magnitude","mean",53,-0.0930237422792453
"3786","10","walking","frequency",NA,"body","accelerometer","NA","magnitude","std",53,-0.370471943962264
"3787","10","walking","frequency",NA,"body","accelerometer","jerk","magnitude","mean",53,0.0205189516981132
"3788","10","walking","frequency",NA,"body","accelerometer","jerk","magnitude","std",53,0.0502087634986792
"3789","10","walking","time","X","NA","gyroscope","NA","NA","mean",53,0.0106894976215094
"3790","10","walking","time","X","NA","gyroscope","NA","NA","std",53,-0.414205475283019
"3791","10","walking","time","X","NA","gyroscope","jerk","NA","mean",53,-0.122709563462264
"3792","10","walking","time","X","NA","gyroscope","jerk","NA","std",53,-0.366063723207547
"3793","10","walking","time","X","body","accelerometer","NA","NA","mean",53,0.278574076603774
"3794","10","walking","time","X","body","accelerometer","NA","NA","std",53,-0.178709734396226
"3795","10","walking","time","X","body","accelerometer","jerk","NA","mean",53,0.0857943809283019
"3796","10","walking","time","X","body","accelerometer","jerk","NA","std",53,-0.0521991013207547
"3797","10","walking","time","X","gravity","accelerometer","NA","NA","mean",53,0.963092149811321
"3798","10","walking","time","X","gravity","accelerometer","NA","NA","std",53,-0.974435158113208
"3799","10","walking","time","Y","NA","gyroscope","NA","NA","mean",53,-0.0819540783760943
"3800","10","walking","time","Y","NA","gyroscope","NA","NA","std",53,-0.250853318679245
"3801","10","walking","time","Y","NA","gyroscope","jerk","NA","mean",53,-0.0519204981037736
"3802","10","walking","time","Y","NA","gyroscope","jerk","NA","std",53,-0.509683327924528
"3803","10","walking","time","Y","body","accelerometer","NA","NA","mean",53,-0.017022351190566
"3804","10","walking","time","Y","body","accelerometer","NA","NA","std",53,-0.0227431651698113
"3805","10","walking","time","Y","body","accelerometer","jerk","NA","mean",53,0.00408248792641509
"3806","10","walking","time","Y","body","accelerometer","jerk","NA","std",53,0.0750804952113207
"3807","10","walking","time","Y","gravity","accelerometer","NA","NA","mean",53,-0.0838277013962264
"3808","10","walking","time","Y","gravity","accelerometer","NA","NA","std",53,-0.971114719811321
"3809","10","walking","time","Z","NA","gyroscope","NA","NA","mean",53,0.0986695731160377
"3810","10","walking","time","Z","NA","gyroscope","NA","NA","std",53,-0.174524868603774
"3811","10","walking","time","Z","NA","gyroscope","jerk","NA","mean",53,-0.0611262928849057
"3812","10","walking","time","Z","NA","gyroscope","jerk","NA","std",53,-0.329079492641509
"3813","10","walking","time","Z","body","accelerometer","NA","NA","mean",53,-0.109057512132075
"3814","10","walking","time","Z","body","accelerometer","NA","NA","std",53,-0.395645072075472
"3815","10","walking","time","Z","body","accelerometer","jerk","NA","mean",53,-0.0162953195396226
"3816","10","walking","time","Z","body","accelerometer","jerk","NA","std",53,-0.511662905849057
"3817","10","walking","time","Z","gravity","accelerometer","NA","NA","mean",53,0.0549276242264151
"3818","10","walking","time","Z","gravity","accelerometer","NA","NA","std",53,-0.957862728301887
"3819","10","walking","time",NA,"NA","gyroscope","NA","magnitude","mean",53,-0.156458730358491
"3820","10","walking","time",NA,"NA","gyroscope","NA","magnitude","std",53,-0.402025135660377
"3821","10","walking","time",NA,"NA","gyroscope","jerk","magnitude","mean",53,-0.440363636603774
"3822","10","walking","time",NA,"NA","gyroscope","jerk","magnitude","std",53,-0.501027916603774
"3823","10","walking","time",NA,"body","accelerometer","NA","magnitude","mean",53,-0.127400912069811
"3824","10","walking","time",NA,"body","accelerometer","NA","magnitude","std",53,-0.185602396067925
"3825","10","walking","time",NA,"body","accelerometer","jerk","magnitude","mean",53,-0.132624992298283
"3826","10","walking","time",NA,"body","accelerometer","jerk","magnitude","std",53,0.037608338009434
"3827","10","walking","time",NA,"gravity","accelerometer","NA","magnitude","mean",53,-0.127400912069811
"3828","10","walking","time",NA,"gravity","accelerometer","NA","magnitude","std",53,-0.185602396067925
"3829","10","walking_downstairs","frequency","X","NA","gyroscope","NA","NA","mean",38,-0.214350280079211
"3830","10","walking_downstairs","frequency","X","NA","gyroscope","NA","NA","std",38,-0.339514358157895
"3831","10","walking_downstairs","frequency","X","body","accelerometer","NA","NA","mean",38,0.215665273157895
"3832","10","walking_downstairs","frequency","X","body","accelerometer","NA","NA","std",38,0.324957743157895
"3833","10","walking_downstairs","frequency","X","body","accelerometer","jerk","NA","mean",38,0.181419131002632
"3834","10","walking_downstairs","frequency","X","body","accelerometer","jerk","NA","std",38,0.156912678626316
"3835","10","walking_downstairs","frequency","Y","NA","gyroscope","NA","NA","mean",38,-0.272495710342105
"3836","10","walking_downstairs","frequency","Y","NA","gyroscope","NA","NA","std",38,-0.343237004473684
"3837","10","walking_downstairs","frequency","Y","body","accelerometer","NA","NA","mean",38,0.00904660360263158
"3838","10","walking_downstairs","frequency","Y","body","accelerometer","NA","NA","std",38,-0.0633337717526316
"3839","10","walking_downstairs","frequency","Y","body","accelerometer","jerk","NA","mean",38,-0.119504295573684
"3840","10","walking_downstairs","frequency","Y","body","accelerometer","jerk","NA","std",38,-0.153355802565789
"3841","10","walking_downstairs","frequency","Z","NA","gyroscope","NA","NA","mean",38,0.0391366814342105
"3842","10","walking_downstairs","frequency","Z","NA","gyroscope","NA","NA","std",38,-0.1503916379
"3843","10","walking_downstairs","frequency","Z","body","accelerometer","NA","NA","mean",38,-0.157728357742105
"3844","10","walking_downstairs","frequency","Z","body","accelerometer","NA","NA","std",38,-0.268686170263158
"3845","10","walking_downstairs","frequency","Z","body","accelerometer","jerk","NA","mean",38,-0.240679035428947
"3846","10","walking_downstairs","frequency","Z","body","accelerometer","jerk","NA","std",38,-0.396147929736842
"3847","10","walking_downstairs","frequency",NA,"NA","gyroscope","NA","magnitude","mean",38,-0.312347510289474
"3848","10","walking_downstairs","frequency",NA,"NA","gyroscope","NA","magnitude","std",38,-0.387780104447368
"3849","10","walking_downstairs","frequency",NA,"NA","gyroscope","jerk","magnitude","mean",38,-0.484196484736842
"3850","10","walking_downstairs","frequency",NA,"NA","gyroscope","jerk","magnitude","std",38,-0.544988519210526
"3851","10","walking_downstairs","frequency",NA,"body","accelerometer","NA","magnitude","mean",38,0.220115703368421
"3852","10","walking_downstairs","frequency",NA,"body","accelerometer","NA","magnitude","std",38,-0.0616742840815789
"3853","10","walking_downstairs","frequency",NA,"body","accelerometer","jerk","magnitude","mean",38,0.156978047052632
"3854","10","walking_downstairs","frequency",NA,"body","accelerometer","jerk","magnitude","std",38,0.0380266696789474
"3855","10","walking_downstairs","time","X","NA","gyroscope","NA","NA","mean",38,-0.124839594289474
"3856","10","walking_downstairs","time","X","NA","gyroscope","NA","NA","std",38,-0.304745377026316
"3857","10","walking_downstairs","time","X","NA","gyroscope","jerk","NA","mean",38,-0.0643764005526316
"3858","10","walking_downstairs","time","X","NA","gyroscope","jerk","NA","std",38,-0.416986139210526
"3859","10","walking_downstairs","time","X","body","accelerometer","NA","NA","mean",38,0.290401594315789
"3860","10","walking_downstairs","time","X","body","accelerometer","NA","NA","std",38,0.295733547631579
"3861","10","walking_downstairs","time","X","body","accelerometer","jerk","NA","mean",38,0.100959387447368
"3862","10","walking_downstairs","time","X","body","accelerometer","jerk","NA","std",38,0.223275806105263
"3863","10","walking_downstairs","time","X","gravity","accelerometer","NA","NA","mean",38,0.939807421052632
"3864","10","walking_downstairs","time","X","gravity","accelerometer","NA","NA","std",38,-0.939267613157895
"3865","10","walking_downstairs","time","Y","NA","gyroscope","NA","NA","mean",38,-0.106742538831579
"3866","10","walking_downstairs","time","Y","NA","gyroscope","NA","NA","std",38,-0.311407525263158
"3867","10","walking_downstairs","time","Y","NA","gyroscope","jerk","NA","mean",38,-0.0489378053157895
"3868","10","walking_downstairs","time","Y","NA","gyroscope","jerk","NA","std",38,-0.471650977631579
"3869","10","walking_downstairs","time","Y","body","accelerometer","NA","NA","mean",38,-0.0200050770710526
"3870","10","walking_downstairs","time","Y","body","accelerometer","NA","NA","std",38,0.00407915363157895
"3871","10","walking_downstairs","time","Y","body","accelerometer","jerk","NA","mean",38,0.0107824902368421
"3872","10","walking_downstairs","time","Y","body","accelerometer","jerk","NA","std",38,-0.105020355562895
"3873","10","walking_downstairs","time","Y","gravity","accelerometer","NA","NA","mean",38,-0.0646160768947368
"3874","10","walking_downstairs","time","Y","gravity","accelerometer","NA","NA","std",38,-0.937003823684211
"3875","10","walking_downstairs","time","Z","NA","gyroscope","NA","NA","mean",38,0.0724433685578947
"3876","10","walking_downstairs","time","Z","NA","gyroscope","NA","NA","std",38,-0.0353021837
"3877","10","walking_downstairs","time","Z","NA","gyroscope","jerk","NA","mean",38,-0.0720413112078947
"3878","10","walking_downstairs","time","Z","NA","gyroscope","jerk","NA","std",38,-0.227137389605263
"3879","10","walking_downstairs","time","Z","body","accelerometer","NA","NA","mean",38,-0.110848597247368
"3880","10","walking_downstairs","time","Z","body","accelerometer","NA","NA","std",38,-0.183557562032895
"3881","10","walking_downstairs","time","Z","body","accelerometer","jerk","NA","mean",38,0.000152617173684209
"3882","10","walking_downstairs","time","Z","body","accelerometer","jerk","NA","std",38,-0.318188417289474
"3883","10","walking_downstairs","time","Z","gravity","accelerometer","NA","NA","mean",38,0.0418715409263158
"3884","10","walking_downstairs","time","Z","gravity","accelerometer","NA","NA","std",38,-0.902085224736842
"3885","10","walking_downstairs","time",NA,"NA","gyroscope","NA","magnitude","mean",38,-0.0238468037578947
"3886","10","walking_downstairs","time",NA,"NA","gyroscope","NA","magnitude","std",38,-0.280382850552632
"3887","10","walking_downstairs","time",NA,"NA","gyroscope","jerk","magnitude","mean",38,-0.401854311315789
"3888","10","walking_downstairs","time",NA,"NA","gyroscope","jerk","magnitude","std",38,-0.494105756315789
"3889","10","walking_downstairs","time",NA,"body","accelerometer","NA","magnitude","mean",38,0.250843769394737
"3890","10","walking_downstairs","time",NA,"body","accelerometer","NA","magnitude","std",38,0.156998205421053
"3891","10","walking_downstairs","time",NA,"body","accelerometer","jerk","magnitude","mean",38,0.0507010228431579
"3892","10","walking_downstairs","time",NA,"body","accelerometer","jerk","magnitude","std",38,0.110877231263158
"3893","10","walking_downstairs","time",NA,"gravity","accelerometer","NA","magnitude","mean",38,0.250843769394737
"3894","10","walking_downstairs","time",NA,"gravity","accelerometer","NA","magnitude","std",38,0.156998205421053
"3895","10","walking_upstairs","frequency","X","NA","gyroscope","NA","NA","mean",47,-0.218524716912766
"3896","10","walking_upstairs","frequency","X","NA","gyroscope","NA","NA","std",47,-0.34130162006383
"3897","10","walking_upstairs","frequency","X","body","accelerometer","NA","NA","mean",47,-0.139410790617021
"3898","10","walking_upstairs","frequency","X","body","accelerometer","NA","NA","std",47,-0.171957349438298
"3899","10","walking_upstairs","frequency","X","body","accelerometer","jerk","NA","mean",47,-0.20121432216383
"3900","10","walking_upstairs","frequency","X","body","accelerometer","jerk","NA","std",47,-0.247598320858298
"3901","10","walking_upstairs","frequency","Y","NA","gyroscope","NA","NA","mean",47,-0.235858986212766
"3902","10","walking_upstairs","frequency","Y","NA","gyroscope","NA","NA","std",47,0.171735785297872
"3903","10","walking_upstairs","frequency","Y","body","accelerometer","NA","NA","mean",47,-0.0390688222212766
"3904","10","walking_upstairs","frequency","Y","body","accelerometer","NA","NA","std",47,-0.051628469647234
"3905","10","walking_upstairs","frequency","Y","body","accelerometer","jerk","NA","mean",47,-0.206872839212766
"3906","10","walking_upstairs","frequency","Y","body","accelerometer","jerk","NA","std",47,-0.202796129097872
"3907","10","walking_upstairs","frequency","Z","NA","gyroscope","NA","NA","mean",47,-0.262763367170213
"3908","10","walking_upstairs","frequency","Z","NA","gyroscope","NA","NA","std",47,-0.403822082765957
"3909","10","walking_upstairs","frequency","Z","body","accelerometer","NA","NA","mean",47,-0.301206408085106
"3910","10","walking_upstairs","frequency","Z","body","accelerometer","NA","NA","std",47,-0.0342347233914894
"3911","10","walking_upstairs","frequency","Z","body","accelerometer","jerk","NA","mean",47,-0.553230667234043
"3912","10","walking_upstairs","frequency","Z","body","accelerometer","jerk","NA","std",47,-0.662894135319149
"3913","10","walking_upstairs","frequency",NA,"NA","gyroscope","NA","magnitude","mean",47,-0.265371689148936
"3914","10","walking_upstairs","frequency",NA,"NA","gyroscope","NA","magnitude","std",47,-0.166969377765957
"3915","10","walking_upstairs","frequency",NA,"NA","gyroscope","jerk","magnitude","mean",47,-0.600582998297872
"3916","10","walking_upstairs","frequency",NA,"NA","gyroscope","jerk","magnitude","std",47,-0.67129056212766
